宋PLUS新能源,上海,2018,SUV,15.28,21.68
宋PLUS新能源,北京,1899,SUV,15.28,21.68
元PLUS,北京,1772,SUV,13.78,16.58
宋PLUS新能源,深圳,1736,SUV,15.28,21.68
汉,深圳,1279,中大型车,21.48,32.98
秦PLUS,上海,1219,紧凑型车,11.18,17.58
汉,北京,1088,中大型车,21.48,32.98
元PLUS,上海,1081,SUV,13.78,16.58
秦PLUS,深圳,1001,紧凑型车,11.18,17.58
秦新能源,长沙,914,紧凑型车,12.99,20.99
宋PLUS新能源,西安,893,SUV,15.28,21.68
宋PLUS新能源,重庆,769,SUV,15.28,21.68
宋PLUS新能源,成都,762,SUV,15.28,21.68
宋PLUS新能源,天津,735,SUV,15.28,21.68
宋PLUS新能源,广州,733,SUV,15.28,21.68
汉,上海,656,中大型车,21.48,32.98
秦Pro新能源,北京,645,紧凑型车,13.69,20.49
宋PLUS新能源,佛山,615,SUV,15.28,21.68
宋PLUS新能源,郑州,592,SUV,15.28,21.68
海豚,上海,578,小型车,10.28,13.08
元PLUS,深圳,541,SUV,13.78,16.58
汉,广州,530,中大型车,21.48,32.98
汉,杭州,525,中大型车,21.48,32.98
秦PLUS,天津,524,紧凑型车,11.18,17.58
唐新能源,上海,504,SUV,20.58,33.98
秦Pro新能源,深圳,499,紧凑型车,13.69,20.49
宋PLUS新能源,长沙,490,SUV,15.28,21.68
宋PLUS新能源,武汉,473,SUV,15.28,21.68
海豚,深圳,468,小型车,10.28,13.08
海豚,北京,467,小型车,10.28,13.08
秦新能源,西安,465,紧凑型车,12.99,20.99
汉,成都,462,中大型车,21.48,32.98
汉,西安,458,中大型车,21.48,32.98
唐新能源,深圳,436,SUV,20.58,33.98
宋Pro新能源,上海,434,SUV,13.88,16.38
海豚,郑州,432,小型车,10.28,13.08
汉,郑州,422,中大型车,21.48,32.98
海豚,杭州,417,小型车,10.28,13.08
元PLUS,海口,404,SUV,13.78,16.58
元PLUS,苏州,396,SUV,13.78,16.58
宋PLUS新能源,东莞,396,SUV,15.28,21.68
秦PLUS,广州,380,紧凑型车,11.18,17.58
元PLUS,重庆,378,SUV,13.78,16.58
元PLUS,天津,373,SUV,13.78,16.58
秦新能源,南京,370,紧凑型车,12.99,20.99
海豚,天津,366,小型车,10.28,13.08
元pro,北京,366,SUV,9.28,11.28
元PLUS,杭州,365,SUV,13.78,16.58
汉,重庆,363,中大型车,21.48,32.98
汉,武汉,358,中大型车,21.48,32.98
元pro,上海,356,SUV,9.28,11.28
元PLUS,成都,355,SUV,13.78,16.58
秦PLUS,郑州,349,紧凑型车,11.18,17.58
驱逐舰05,深圳,330,紧凑型车,11.98,15.58
元PLUS,广州,329,SUV,13.78,16.58
海豚,重庆,327,小型车,10.28,13.08
秦Pro新能源,南宁,327,紧凑型车,13.69,20.49
海豚,合肥,320,小型车,10.28,13.08
宋PLUS新能源,杭州,320,SUV,15.28,21.68
秦Pro新能源,重庆,318,紧凑型车,13.69,20.49
秦Pro新能源,上海,315,紧凑型车,13.69,20.49
海豚,苏州,314,小型车,10.28,13.08
元PLUS,南京,309,SUV,13.78,16.58
元PLUS,郑州,305,SUV,13.78,16.58
秦Pro新能源,成都,302,紧凑型车,13.69,20.49
海豚,成都,296,小型车,10.28,13.08
汉,苏州,295,中大型车,21.48,32.98
宋PLUS新能源,南京,294,SUV,15.28,21.68
海豚,广州,292,小型车,10.28,13.08
海豚,温州,286,小型车,10.28,13.08
汉,天津,277,中大型车,21.48,32.98
元PLUS,武汉,274,SUV,13.78,16.58
秦新能源,深圳,271,紧凑型车,12.99,20.99
元PLUS,西安,269,SUV,13.78,16.58
秦PLUS,杭州,268,紧凑型车,11.18,17.58
宋PLUS新能源,石家庄,267,SUV,15.28,21.68
汉,长沙,261,中大型车,21.48,32.98
秦PLUS,北京,261,紧凑型车,11.18,17.58
海豚,南宁,256,小型车,10.28,13.08
唐新能源,北京,255,SUV,20.58,33.98
海豚,东莞,252,小型车,10.28,13.08
秦Pro新能源,广州,251,紧凑型车,13.69,20.49
海豚,西安,250,小型车,10.28,13.08
元PLUS,无锡,250,SUV,13.78,16.58
元PLUS,佛山,250,SUV,13.78,16.58
元PLUS,长沙,248,SUV,13.78,16.58
秦PLUS,西安,247,紧凑型车,11.18,17.58
秦新能源,东莞,234,紧凑型车,12.99,20.99
元PLUS,温州,233,SUV,13.78,16.58
秦Pro新能源,杭州,231,紧凑型车,13.69,20.49
宋PLUS新能源,太原,230,SUV,15.28,21.68
秦Pro新能源,贵阳,230,紧凑型车,13.69,20.49
秦新能源,广州,228,紧凑型车,12.99,20.99
海豚,武汉,225,小型车,10.28,13.08
元PLUS,宁波,222,SUV,13.78,16.58
宋PLUS新能源,南宁,222,SUV,15.28,21.68
宋PLUS新能源,惠州,222,SUV,15.28,21.68
宋PLUS新能源,合肥,220,SUV,15.28,21.68
